Provider,Export,Id
cargo,crates,https://crates.io/crates/bunyan
cargo,crates,https://crates.io/crates/cargo-audit
cargo,crates,https://crates.io/crates/cargo-expand
cargo,crates,https://crates.io/crates/cargo-udeps
cargo,crates,https://crates.io/crates/cargo-update
cargo,crates,https://crates.io/crates/cargo-watch
cargo,crates,https://crates.io/crates/content_inspector
cargo,crates,https://crates.io/crates/mergiraf
cargo,crates,https://crates.io/crates/rustlings
cargo,crates,https://crates.io/crates/sqlx-cli
cargo,crates,https://crates.io/crates/tabiew
cargo,crates,https://crates.io/crates/taplo-cli
cargo,crates,https://crates.io/crates/tealdeer
cargo,crates,https://crates.io/crates/typos-cli
cargo,crates,https://crates.io/crates/xsv
cargo,crates,https://github.com/pamburus/hl.git
dotnet,tools,dotnet-ef
dotnet,tools,dotnet-repl
dotnet,tools,dotnet-reportgenerator-globaltool
dotnet,tools,dotnet-suggest
dotnet,tools,dotnet-tools-outdated
dotnet,tools,dotnet-xscgen
dotnet,tools,refitter
go,packages,github.com/ericchiang/pup
go,packages,github.com/homeport/dyff/cmd/dyff
go,packages,github.com/josephburnett/jd
go,packages,github.com/liderman/leveldb-cli
go,packages,github.com/mikefarah/yq/v4
go,packages,github.com/tomnomnom/gron
npm,packages,@openapitools/openapi-generator-cli
npm,packages,@stoplight/spectral-cli
npm,packages,cspell
npm,packages,markdownlint-cli
npm,packages,npm
npm,packages,nswag
npm,packages,prettier
npm,packages,speedscope
pip,packages,check-jsonschema
pip,packages,pip
pip,packages,sqlfluff
pip,packages,yamllint
powershell,modules.user,BuildHelpers
powershell,modules.user,HackF5.ProfileAlias
powershell,modules.user,Lance
powershell,modules.user,Microsoft.PowerToys.Configure
powershell,modules.user,Pester
powershell,modules.user,posh-git
powershell,modules.user,powershell-yaml
powershell,modules.user,Profiler
powershell,modules.user,PSDepend
powershell,modules.user,PSScriptAnalyzer
powershell,modules.user,PSToml
powershell,modules.user,Templating
rust,toolchains,nightly-x86_64-pc-windows-msvc
rust,toolchains,stable-x86_64-pc-windows-msvc
winget,packages,7zip.7zip@winget
winget,packages,9WZDNCRDMDM3@msstore
winget,packages,AlexanderKojevnikov.Spek@winget
winget,packages,Amazon.SendToKindle@winget
winget,packages,AntibodySoftware.WizTree@winget
winget,packages,Apple.iTunes@winget
winget,packages,Audacity.Audacity@winget
winget,packages,AutoHotkey.AutoHotkey@winget
winget,packages,Bethesda.Launcher@winget
winget,packages,Bitwarden.CLI@winget
winget,packages,BurntSushi.ripgrep.MSVC@winget
winget,packages,calibre.calibre@winget
winget,packages,Canonical.Ubuntu@winget
winget,packages,dandavison.delta@winget
winget,packages,DigitalOcean.Doctl@winget
winget,packages,direnv.direnv@winget
winget,packages,Discord.Discord@winget
winget,packages,dotPDN.PaintDotNet@winget
winget,packages,EpicGames.EpicGamesLauncher@winget
winget,packages,FlorianHeidenreich.Mp3tag@winget
winget,packages,gerardog.gsudo@winget
winget,packages,Git.Git@winget
winget,packages,GitHub.cli@winget
winget,packages,GnuPG.GnuPG@winget
winget,packages,GnuPG.Gpg4win@winget
winget,packages,GnuWin32.Make@winget
winget,packages,GoLang.Go@winget
winget,packages,Google.AndroidStudio@winget
winget,packages,Google.Chrome@winget
winget,packages,Google.QuickShare@winget
winget,packages,Graphviz.Graphviz@winget
winget,packages,HandBrake.HandBrake@winget
winget,packages,JanDeDobbeleer.OhMyPosh@winget
winget,packages,JGraph.Draw@winget
winget,packages,JohnMacFarlane.Pandoc@winget
winget,packages,jqlang.jq@winget
winget,packages,JRSoftware.InnoSetup@winget
winget,packages,KDE.KDiff3@winget
winget,packages,KirillOsenkov.MSBuildStructuredLogViewer@winget
winget,packages,koalaman.shellcheck@winget
winget,packages,kvakulo.switcheroo@winget
winget,packages,kymoto.InnoScriptStudio@winget
winget,packages,Logitech.OptionsPlus@winget
winget,packages,lsd-rs.lsd@winget
winget,packages,Malwarebytes.Malwarebytes@winget
winget,packages,Meld.Meld@winget
winget,packages,Microsoft.AppInstaller@winget
winget,packages,Microsoft.AzureCLI@winget
winget,packages,Microsoft.AzureDataStudio@winget
winget,packages,Microsoft.CLRTypesSQLServer.2019@winget
winget,packages,Microsoft.DevHome@winget
winget,packages,Microsoft.DotNet.DesktopRuntime.6@winget
winget,packages,Microsoft.DotNet.DesktopRuntime.8@winget
winget,packages,Microsoft.DotNet.Runtime.7@winget
winget,packages,Microsoft.DotNet.SDK.8@winget
winget,packages,Microsoft.DotNet.SDK.9@winget
winget,packages,Microsoft.DotNet.UninstallTool@winget
winget,packages,Microsoft.Edge@winget
winget,packages,Microsoft.MouseWithoutBorders@winget
winget,packages,Microsoft.msodbcsql.17@winget
winget,packages,Microsoft.NuGet@winget
winget,packages,Microsoft.OneDrive@winget
winget,packages,Microsoft.PowerShell@winget
winget,packages,Microsoft.PowerToys@winget
winget,packages,Microsoft.Sqlcmd@winget
winget,packages,Microsoft.Teams.Free@winget
winget,packages,Microsoft.Teams@winget
winget,packages,Microsoft.UI.Xaml.2.7@winget
winget,packages,Microsoft.UI.Xaml.2.8@winget
winget,packages,Microsoft.VCLibs.Desktop.14@winget
winget,packages,Microsoft.VCRedist.2008.x64@winget
winget,packages,Microsoft.VCRedist.2008.x86@winget
winget,packages,Microsoft.VCRedist.2010.x64@winget
winget,packages,Microsoft.VCRedist.2010.x86@winget
winget,packages,Microsoft.VCRedist.2012.x64@winget
winget,packages,Microsoft.VCRedist.2012.x86@winget
winget,packages,Microsoft.VCRedist.2013.x64@winget
winget,packages,Microsoft.VCRedist.2013.x86@winget
winget,packages,Microsoft.VCRedist.2015+.x64@winget
winget,packages,Microsoft.VCRedist.2015+.x86@winget
winget,packages,Microsoft.VisualStudio.2022.Community@winget
winget,packages,Microsoft.VisualStudioCode@winget
winget,packages,Microsoft.WebDeploy@winget
winget,packages,Microsoft.WindowsTerminal.Preview@winget
winget,packages,Microsoft.WindowsTerminal@winget
winget,packages,Microsoft.WSL@winget
winget,packages,Microsoft.XNARedist@winget
winget,packages,MiKTeX.MiKTeX@winget
winget,packages,Mobatek.MobaXterm@winget
winget,packages,Mozilla.Firefox@winget
winget,packages,Mozilla.Thunderbird@winget
winget,packages,MusicBrainz.Picard@winget
winget,packages,NickeManarin.ScreenToGif@winget
winget,packages,Notepad++.Notepad++@winget
winget,packages,Nushell.Nushell@winget
winget,packages,Nvidia.PhysX@winget
winget,packages,Obsidian.Obsidian@winget
winget,packages,OliverBetz.ExifTool@winget
winget,packages,OpenJS.NodeJS.LTS@winget
winget,packages,Oracle.JavaRuntimeEnvironment@winget
winget,packages,Oracle.JDK.23@winget
winget,packages,PawelSalawa.SQLiteStudio@winget
winget,packages,PDFsam.PDFsam@winget
winget,packages,pnpm.pnpm@winget
winget,packages,PostgreSQL.PostgreSQL.16@winget
winget,packages,PrivateInternetAccess.PrivateInternetAccess@winget
winget,packages,PuTTY.PuTTY@winget
winget,packages,Python.Launcher@winget
winget,packages,Python.Python.3.12@winget
winget,packages,qBittorrent.qBittorrent@winget
winget,packages,RaspberryPiFoundation.RaspberryPiImager@winget
winget,packages,RedHat.Podman-Desktop@winget
winget,packages,RedHat.Podman@winget
winget,packages,rhysd.actionlint@winget
winget,packages,RuneLite.RuneLite@winget
winget,packages,RustemMussabekov.Raindrop@winget
winget,packages,Rustlang.Rustup@winget
winget,packages,sharkdp.bat@winget
winget,packages,sharkdp.fd@winget
winget,packages,ShiningLight.OpenSSL.Dev@winget
winget,packages,SumatraPDF.SumatraPDF@winget
winget,packages,Valve.Steam@winget
winget,packages,VideoLAN.VLC@winget
winget,packages,vim.vim@winget
winget,packages,WhirlwindFX.SignalRgb@winget
winget,packages,Wilfred.difftastic@winget
winget,packages,WinMerge.WinMerge@winget
winget,packages,XPFM2K6GPV72CR@msstore
winget,pins,Discord.Discord@winget
winget,pins,Google.PlayGames.Beta@winget
winget,pins,Malwarebytes.Malwarebytes@winget
winget,pins,Microsoft.DotNet.SDK.8@winget
winget,pins,Microsoft.VCRedist.2015+.x64@winget
winget,pins,pnpm.pnpm@winget
winget,pins,ShiningLight.OpenSSL.Dev@winget
winget,sources,Microsoft.Winget.Source_8wekyb3d8bbwe
winget,sources,StoreEdgeFD
